SALE_ID,PRODUCT_ID,CUSTOMER_ID,SALE_DATE,ONLINE_ORDER,ORDER_STATUS,BRAND,PRODUCT_LINE,PRODUCT_CLASS,PRODUCT_SIZE,LIST_PRICE,STANDARD_COST,PRODUCT_FIRST_SOLD_DATE,discount,industry_id
14931,31,1,14/12/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18 ,37337,0,0
9785,72,1,5/1/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30 ,37873,2,2
13644,25,1,19/05/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,33552,1,1
16423,9,1,9/12/2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40 ,37838,0,0
15663,32,1,4/6/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37 ,40618,0,0
5157,47,1,11/5/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42 ",37823,1,1
94,86,1,23/12/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,38482,2,2
3765,38,1,6/4/2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51 ,39526,2,2
18970,11,1,29/03/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96 ,35378,1,1
13424,2,1,21/02/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62 ,38573,0,0
14486,23,1,27/03/2017,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88 ,33455,2,2
6743,85,2,11/6/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36 ,38206,1,1
2261,1,2,4/5/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,40784,0,0
16411,26,2,24/08/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63 ,37337,0,0
12954,77,3,5/4/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10 ,36833,1,1
